Feature,Importance,Q1,Q3
survey_wave,0.07311916873295699,0.0726353309425671,0.07356123351502739
age_num,0.05602931527689517,0.05560562074289909,0.05654196430031396
i12_health_5,0.044007369117132,0.04347556774596205,0.04441079372718967
i12_health_1,0.0439612034415201,0.043255196778526045,0.044747681004241285
i12_health_4,0.04090404039352726,0.040413880113776786,0.04159942873309495
i2_health,0.04014847407481362,0.03987729191587436,0.04069621295727886
i12_health_15,0.03790054981488376,0.03735141179255066,0.038344683276023486
employment_status,0.03652180853999683,0.03621123774298546,0.03690669842426023
i12_health_2,0.03588545629453205,0.035585877068000316,0.03636395377080649
i12_health_3,0.03530523142163811,0.03496146883592962,0.03560614339951492
i12_health_19,0.0347026632098566,0.034313351683603006,0.035049869443447325
i12_health_17,0.03371612850628525,0.033311773799368796,0.03413550281397022
i12_health_14,0.03350379206587394,0.033100963472345764,0.03384823820235772
i12_health_11,0.03222643118558573,0.031940072430369906,0.032521226260201576
i7a_health,0.031774214839623206,0.03140632365122572,0.032044677607757956
i12_health_16,0.031685970813793596,0.03132601799158165,0.03206745333532971
household_size_num,0.031517713051476756,0.031210995962411267,0.031958484631242484
i1_health,0.03131001957073207,0.031042787970676576,0.03170929291412651
i12_health_18,0.03121306021916018,0.031005392568294807,0.03155060593957298
i12_health_20,0.030894122469098947,0.03052514438853218,0.03111800685046817
i12_health_13,0.03085815307274974,0.03050729074342843,0.031195722076761804
i12_health_12,0.030375937927182337,0.02991370777024756,0.03058097887188356
i12_health_8,0.030121444124831354,0.02987024833998185,0.030411884909796245
i12_health_6,0.03003973781933212,0.029653029996321974,0.030347004776280165
i12_health_7,0.028397472096522054,0.028131661790579174,0.02866742853046073
household_test_status,0.018686790265448915,0.01843910333202675,0.018891493989143287
household_children_group,0.0180920066183119,0.017952193079968978,0.018391053370208663
comorbidity_status,0.015600924302095628,0.015423510092626654,0.01588200153835852
personal_test_status,0.013013613704092,0.012792837376178241,0.013207615874853227
gender,0.00988975897317282,0.009703628662410011,0.010076175748789187
covid_symptom_status,0.008370975391559935,0.00819604559664751,0.008591683025177807
