Feature,Feasibility,Feasibility_Q1,Feasibility_Q3,Willingness,Willingness_Q1,Willingness_Q3,Feasibility_Rank,Willingness_Rank,Feature_raw,Group,Total
Employment Status,-0.03652180853999683,-0.03621123774298546,-0.03690669842426023,0.030188812152348445,0.02999651770104215,0.030350752021642172,8,20,employment_status,Employment,0.06671062069234528
Ate Separately at Home,-0.03121306021916018,-0.031005392568294807,-0.03155060593957298,0.03570872500924356,0.035518052624889024,0.03593433605263473,19,9,i12_health_18,Protective behaviours,0.06692178522840374
Cleaned Frequently Touched Surfaces,-0.0347026632098566,-0.034313351683603006,-0.035049869443447325,0.03491322769079575,0.03470968069484995,0.03505966108898638,11,10,i12_health_19,Protective behaviours,0.06961589090065234
Washed Hands With Soap and Water,-0.03588545629453205,-0.035585877068000316,-0.03636395377080649,0.03409290865279206,0.033881110622233035,0.03431996499449493,9,13,i12_health_2,Protective behaviours,0.06997836494732411
Slept Separately at Home,-0.03371612850628525,-0.033311773799368796,-0.03413550281397022,0.03697152597945941,0.03672630911282641,0.03719530408168288,12,8,i12_health_17,Protective behaviours,0.07068765448574466
Avoided Crowded Areas,-0.03790054981488376,-0.03735141179255066,-0.038344683276023486,0.03415783398337578,0.03388961651973464,0.03436751362789321,7,12,i12_health_15,Protective behaviours,0.07205838379825955
Used Hand Sanitiser,-0.03530523142163811,-0.03496146883592962,-0.03560614339951492,0.037190806982154045,0.03693389746938521,0.03746304122995295,10,7,i12_health_3,Protective behaviours,0.07249603840379215
Covered Nose and Mouth When Sneezing or Coughing,-0.04090404039352726,-0.040413880113776786,-0.04159942873309495,0.04237492849527781,0.04198832945810688,0.042743839870023614,5,6,i12_health_4,Protective behaviours,0.08327896888880507
Non-household Contacts,-0.04014847407481362,-0.03987729191587436,-0.04069621295727886,0.048836455236070914,0.04860074216813089,0.04903020989495025,6,4,i2_health,Contacts and mobility,0.08898492931088453
Wore Face Mask Outside Home,-0.0439612034415201,-0.043255196778526045,-0.044747681004241285,0.04577171784494837,0.045426012047389,0.046184498289636666,4,5,i12_health_1,Protective behaviours,0.08973292128646848
Avoided Contact With Symptomatic or Exposed People,-0.044007369117132,-0.04347556774596205,-0.04441079372718967,0.05135405439891738,0.05075506283033083,0.0517466224583317,3,3,i12_health_5,Protective behaviours,0.09536142351604938
Age,-0.05602931527689517,-0.05560562074289909,-0.05654196430031396,0.06349468082979298,0.06314143856535118,0.06372224116877755,2,1,age_num,Demographics and household,0.11952399610668815
Survey Wave,-0.07311916873295699,-0.0726353309425671,-0.07356123351502739,0.0522977043423479,0.05203879191548674,0.0525858079720985,1,2,survey_wave,Time,0.12541687307530489
