Feature,Feasibility,Willingness,Difference,Abs_Difference,Feature_raw
Children in Household,0.0180920066183119,0.02164653383901182,0.003554527220699922,0.003554527220699922,household_children_group
Personal COVID Test,0.013013613704092,0.009447179630513832,-0.003566434073578168,0.003566434073578168,personal_test_status
Avoided Crowded Areas,0.03790054981488376,0.03415783398337578,-0.003742715831507981,0.003742715831507981,i12_health_15
Ate Separately at Home,0.03121306021916018,0.03570872500924356,0.004495664790083381,0.004495664790083381,i12_health_18
Gender,0.00988975897317282,0.015769413643281223,0.005879654670108403,0.005879654670108403,gender
Employment Status,0.03652180853999683,0.030188812152348445,-0.006332996387648383,0.006332996387648383,employment_status
Avoided Contact With Symptomatic or Exposed People,0.044007369117132,0.05135405439891738,0.007346685281785378,0.007346685281785378,i12_health_5
Age,0.05602931527689517,0.06349468082979298,0.0074653655528978125,0.0074653655528978125,age_num
Non-household Contacts,0.04014847407481362,0.048836455236070914,0.008687981161257297,0.008687981161257297,i2_health
Survey Wave,0.07311916873295699,0.0522977043423479,-0.020821464390609085,0.020821464390609085,survey_wave
