Feature,Importance,Q1,Q3
age_num,0.06349468082979298,0.06314143856535118,0.06372224116877755
survey_wave,0.0522977043423479,0.05203879191548674,0.0525858079720985
i12_health_5,0.05135405439891738,0.05075506283033083,0.0517466224583317
i2_health,0.048836455236070914,0.04860074216813089,0.04903020989495025
i12_health_1,0.04577171784494837,0.045426012047389,0.046184498289636666
i12_health_4,0.04237492849527781,0.04198832945810688,0.042743839870023614
i12_health_3,0.037190806982154045,0.03693389746938521,0.03746304122995295
i12_health_17,0.03697152597945941,0.03672630911282641,0.03719530408168288
i12_health_18,0.03570872500924356,0.035518052624889024,0.03593433605263473
i12_health_19,0.03491322769079575,0.03470968069484995,0.03505966108898638
i1_health,0.034734265610651474,0.03453908135804459,0.03495512278987531
i12_health_15,0.03415783398337578,0.03388961651973464,0.03436751362789321
i12_health_2,0.03409290865279206,0.033881110622233035,0.03431996499449493
i12_health_14,0.03236906924254554,0.032001680444724644,0.0326249917794908
i12_health_11,0.03220672921584523,0.03194867156614625,0.03236485949933064
i12_health_6,0.031983882009580106,0.031773021736823844,0.0321901643010429
household_size_num,0.03177561288029145,0.03155631828310218,0.03192429514840642
i7a_health,0.031318072579834697,0.031116793813238768,0.031530796839307665
i12_health_16,0.031051041984408004,0.030878920888657103,0.03122313868608504
employment_status,0.030188812152348445,0.02999651770104215,0.030350752021642172
i12_health_12,0.030063862614049433,0.029924047323297273,0.03028350746925757
i12_health_20,0.029806815711976374,0.029615647805583765,0.03002055200575899
i12_health_8,0.02901148309297512,0.028809451250170547,0.0291404190006869
i12_health_13,0.02900562943047274,0.02872861333788292,0.02926056681753095
i12_health_7,0.027111959781015996,0.02694758181053564,0.027268421765944337
household_children_group,0.02164653383901182,0.02150048245336272,0.02182052258884123
gender,0.015769413643281223,0.015671735017380072,0.015932810484867388
household_test_status,0.015443460313631314,0.015283649786740973,0.01560827573430037
comorbidity_status,0.013223671496619769,0.013128383823856601,0.013389592487259202
personal_test_status,0.009447179630513832,0.009338749687000037,0.009561359053509483
covid_symptom_status,0.006728912049441111,0.006634393356421488,0.0068627444164769446
